age,workclass,education,marital-status,occupation,relationship,race,gender,income_>50K
32,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,1,1
38,Private,11th,Married-civ-spouse,Sales,Husband,White,1,0
50,Private,Masters,Married-civ-spouse,Sales,Husband,White,1,1
45,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,1,1
24,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,0,0
56,Local-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,White,0,0
18,Private,11th,Never-married,Adm-clerical,Own-child,White,0,0
43,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,1,1
44,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,1,0
25,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,1,0
47,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,1,1
50,Private,11th,Divorced,Sales,Not-in-family,White,0,0
21,Private,HS-grad,Never-married,Craft-repair,Own-child,White,1,0
32,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0
36,Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,0,1
36,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,1,0
41,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,1,1
34,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,0,1
29,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,1,1
58,Private,Some-college,Divorced,Other-service,Not-in-family,White,1,0
56,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,1,1
38,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,1,1
46,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,1,1
54,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,1,1
57,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,1,0
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,0,1
43,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,1,1
49,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,Black,1,1
19,Private,11th,Never-married,Other-service,Own-child,White,0,0
18,Private,HS-grad,Never-married,Sales,Not-in-family,White,0,0
38,Local-gov,HS-grad,Never-married,Craft-repair,Not-in-family,White,1,0
60,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,1,1
24,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,0,0
58,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,1,1
25,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Black,0,0
23,Private,HS-grad,Never-married,Other-service,Own-child,White,0,0
23,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,0,0
40,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,1,1
46,Private,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,White,1,0
58,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,1,1
37,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,1,0
25,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,1,1
19,Private,HS-grad,Never-married,Other-service,Own-child,Black,1,0
31,State-gov,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,1,1
57,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,1,1
52,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,1,1
35,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,0,0
24,Private,Bachelors,Never-married,Exec-managerial,Other-relative,White,0,1
59,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,1,1
34,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,1,0
55,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,1,1
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,1,1
52,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Black,1,1
20,Private,HS-grad,Never-married,Sales,Own-child,White,1,0
35,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0
39,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,1,1
59,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,1,1
29,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,1,0
28,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,0,0
55,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,1,1
21,Private,Some-college,Never-married,Other-service,Own-child,White,0,0
